"geom","setting","input","value","quoted","placeholder","group"
"scale_fill_distiller","na.values","text","grey50",TRUE,"",NA
"scale_colour_distiller","guide","select","colourbar,legend",TRUE,"",NA
"scale_fill_distiller","guide","select","colourbar,legend",TRUE,"",NA
"scale_colour_grey","start","text","0.2",FALSE,"",NA
"scale_fill_grey","start","text","0.2",FALSE,"",NA
"scale_colour_grey","end","text","0.8",FALSE,"",NA
"scale_fill_grey","end","text","0.8",FALSE,"",NA
"scale_colour_grey","na.value","text","red",TRUE,"",NA
"scale_fill_grey","na.value","text","red",TRUE,"",NA
"scale_colour_gradient","low","text","#132B43",TRUE,"",NA
"scale_fill_gradient","low","text","#132B43",TRUE,"",NA
"scale_colour_gradient","high","text","#56B1F7",TRUE,"",NA
"scale_fill_gradient","high","text","#56B1F7",TRUE,"",NA
"scale_colour_gradient","space","select","Lab",TRUE,"",NA
"scale_fill_gradient","space","select","Lab",TRUE,"",NA
"scale_colour_gradient2","space","select","Lab",TRUE,"",NA
"scale_fill_gradient2","space","select","Lab",TRUE,"",NA
"scale_colour_gradientn","space","select","Lab",TRUE,"",NA
"scale_fill_gradientn","space","select","Lab",TRUE,"",NA
"scale_colour_gradient","na.value","text","grey50",TRUE,"",NA
"scale_fill_gradient","na.value","text","grey50",TRUE,"",NA
"scale_colour_gradient2","na.value","text","grey50",TRUE,"",NA
"scale_fill_gradient2","na.value","text","grey50",TRUE,"",NA
"scale_colour_gradientn","na.value","text","grey50",TRUE,"",NA
"scale_fill_gradientn","na.value","text","grey50",TRUE,"",NA
"scale_colour_gradient","guide","select","colourbar,legend",TRUE,"",NA
"scale_fill_gradient","guide","select","colourbar,legend",TRUE,"",NA
"scale_colour_gradient2","guide","select","colourbar,legend",TRUE,"",NA
"scale_fill_gradient2","guide","select","colourbar,legend",TRUE,"",NA
"scale_colour_gradientn","guide","select","colourbar,legend",TRUE,"",NA
"scale_fill_gradientn","guide","select","colourbar,legend",TRUE,"",NA
"scale_colour_gradient2","low","text","muted('red')",TRUE,"",NA
"scale_fill_gradient2","low","text","muted('red')",TRUE,"",NA
"scale_colour_gradient2","mid","text","white",TRUE,"",NA
"scale_fill_gradient2","mid","text","white",TRUE,"",NA
"scale_colour_gradient2","high","text","muted('blue')",TRUE,"",NA
"scale_fill_gradient2","high","text","muted('blue')",TRUE,"",NA
"scale_colour_gradientn","colours","text","",FALSE,"",NA
"scale_fill_gradientn","colours","text","",FALSE,"",NA
"scale_colour_gradient2","midpoint","text","0",FALSE,"",NA
"scale_fill_gradient2","midpoint","text","0",FALSE,"",NA
"scale_shape","solid","checkbox","TRUE",FALSE,"",NA
"scale_shape_continuous","solid","checkbox","TRUE",FALSE,"",NA
"scale_shape_discrete","solid","checkbox","TRUE",FALSE,"",NA
"scale_colour_identity","guide","text","none",TRUE,"",NA
"scale_fill_identity","guide","text","none",TRUE,"",NA
"scale_shape_identity","guide","text","none",TRUE,"",NA
"scale_linetype_identity","guide","text","none",TRUE,"",NA
"scale_alpha_identity","guide","text","none",TRUE,"",NA
"scale_size_identity","guide","text","none",TRUE,"",NA
"scale_colour_manual","values","text","",FALSE,"",NA
"scale_fill_manual","values","text","",FALSE,"",NA
"scale_size_manual","values","text","",FALSE,"",NA
"scale_shape_manual","values","text","",FALSE,"",NA
"scale_linetype_manual","values","text","",FALSE,"",NA
"scale_alpha_manual","values","text","",FALSE,"",NA
"scale_radius","name","text","",FALSE,"waiver()",NA
"scale_size","name","text","",FALSE,"waiver()",NA
"scale_radius","breaks","text","",FALSE,"waiver()",NA
"scale_size","breaks","text","",FALSE,"waiver()",NA
"scale_radius","labels","text","",FALSE,"waiver()",NA
"scale_size","labels","text","",FALSE,"waiver()",NA
"scale_radius","limits","text","",FALSE,"NULL",NA
"scale_size","limits","text","",FALSE,"NULL",NA
"scale_radius","range","text","c(1,6)",FALSE,"",NA
"scale_size","range","text","c(1,6)",FALSE,"",NA
"scale_radius","guide","text","legend",TRUE,"",NA
"scale_size","guide","text","legend",TRUE,"",NA
"scale_size_area","max_size","text","6",FALSE,"",NA
"scale_colour_continuous","type","select","gradient,viridis",TRUE,"",NA
"scale_fill_continuous","type","select","gradient,viridis",TRUE,"",NA
"scale_alpha","range","text","c(0.1,1)",FALSE,"",NA
"scale_alpha_continuous","range","text","c(0.1,1)",FALSE,"",NA
"scale_alpha_ordinal","range","text","c(0.1,1)",FALSE,"",NA
"scale_colour_hue","h","text","c(0,360)+15",FALSE,"",NA
"scale_fill_hue","h","text","c(0,360)+15",FALSE,"",NA
"scale_colour_hue","c","text","100",FALSE,"",NA
"scale_fill_hue","c","text","100",FALSE,"",NA
"scale_colour_hue","l","text","65",FALSE,"",NA
"scale_fill_hue","l","text","65",FALSE,"",NA
"scale_colour_hue","h.start","text","0",FALSE,"",NA
"scale_fill_hue","h.start","text","0",FALSE,"",NA
"scale_colour_hue","direction","select","1,-1",TRUE,"",NA
"scale_fill_hue","direction","select","1,-1",TRUE,"",NA
"scale_colour_hue","na.value","text","grey50",TRUE,"",NA
"scale_fill_hue","na.value","text","grey50",TRUE,"",NA
"scale_x_date","name","text","",FALSE,"waiver()",NA
"scale_y_date","name","text","",FALSE,"waiver()",NA
"scale_x_datetime","name","text","",FALSE,"waiver()",NA
"scale_y_datetime","name","text","",FALSE,"waiver()",NA
"scale_x_time","name","text","",FALSE,"waiver()",NA
"scale_y_time","name","text","",FALSE,"waiver()",NA
"scale_x_date","breaks","text","",FALSE,"waiver()",NA
"scale_y_date","breaks","text","",FALSE,"waiver()",NA
"scale_x_datetime","breaks","text","",FALSE,"waiver()",NA
"scale_y_datetime","breaks","text","",FALSE,"waiver()",NA
"scale_x_time","breaks","text","",FALSE,"waiver()",NA
"scale_y_time","breaks","text","",FALSE,"waiver()",NA
"scale_x_date","minor_breaks","text","",FALSE,"waiver()",NA
"scale_y_date","minor_breaks","text","",FALSE,"waiver()",NA
"scale_x_datetime","minor_breaks","text","",FALSE,"waiver()",NA
"scale_y_datetime","minor_breaks","text","",FALSE,"waiver()",NA
"scale_x_time","minor_breaks","text","",FALSE,"waiver()",NA
"scale_y_time","minor_breaks","text","",FALSE,"waiver()",NA
"scale_x_date","labels","text","",FALSE,"waiver()",NA
"scale_y_date","labels","text","",FALSE,"waiver()",NA
"scale_x_datetime","labels","text","",FALSE,"waiver()",NA
"scale_y_datetime","labels","text","",FALSE,"waiver()",NA
"scale_x_time","labels","text","",FALSE,"waiver()",NA
"scale_y_time","labels","text","",FALSE,"waiver()",NA
"scale_x_date","expand","text","",FALSE,"waiver()",NA
"scale_y_date","expand","text","",FALSE,"waiver()",NA
"scale_x_datetime","expand","text","",FALSE,"waiver()",NA
"scale_y_datetime","expand","text","",FALSE,"waiver()",NA
"scale_x_time","expand","text","",FALSE,"waiver()",NA
"scale_y_time","expand","text","",FALSE,"waiver()",NA
"scale_x_date","date_breaks","text","",FALSE,"waiver()",NA
"scale_y_date","date_breaks","text","",FALSE,"waiver()",NA
"scale_x_datetime","date_breaks","text","",FALSE,"waiver()",NA
"scale_y_datetime","date_breaks","text","",FALSE,"waiver()",NA
"scale_x_date","date_labels","text","",FALSE,"waiver()",NA
"scale_y_date","date_labels","text","",FALSE,"waiver()",NA
"scale_x_datetime","date_labels","text","",FALSE,"waiver()",NA
"scale_y_datetime","date_labels","text","",FALSE,"waiver()",NA
"scale_x_date","date_minor_breaks","text","",FALSE,"waiver()",NA
"scale_y_date","date_minor_breaks","text","",FALSE,"waiver()",NA
"scale_x_datetime","date_minor_breaks","text","",FALSE,"waiver()",NA
"scale_y_datetime","date_minor_breaks","text","",FALSE,"waiver()",NA
"scale_x_date","limits","text","",FALSE,"NULL",NA
"scale_y_date","limits","text","",FALSE,"NULL",NA
"scale_x_datetime","limits","text","",FALSE,"NULL",NA
"scale_y_datetime","limits","text","",FALSE,"NULL",NA
"scale_x_time","limits","text","",FALSE,"NULL",NA
"scale_y_time","limits","text","",FALSE,"NULL",NA
"scale_x_date","position","select","bottom,top",TRUE,"",NA
"scale_x_datetime","position","select","bottom,top",TRUE,"",NA
"scale_x_time","position","select","bottom,top",TRUE,"",NA
"scale_y_date","position","select","left,right",TRUE,"",NA
"scale_y_datetime","position","select","left,right",TRUE,"",NA
"scale_y_time","position","select","left,right",TRUE,"",NA
"scale_x_datetime","timezone","text","",FALSE,"NULL",NA
"scale_y_datetime","timezone","text","",FALSE,"NULL",NA
"scale_x_time","oob","text","censor",FALSE,"",NA
"scale_y_time","oob","text","censor",FALSE,"",NA
"scale_x_time","na.value","text","NA_real_",FALSE,"",NA
"scale_y_time","na.value","text","NA_real_",FALSE,"",NA
"margin","t","text","0",FALSE,"",NA
"margin","r","text","0",FALSE,"",NA
"margin","b","text","0",FALSE,"",NA
"margin","l","text","0",FALSE,"",NA
"margin","unit","select","pt,line,npc,cm,inches,mm,picas,bigpts,dida,cicero,scaledpts,lines,char,native,snpc,strwidth,strheight,grobwidth,grobheight",TRUE,"",NA
"element_rect","fill","select","NULL",TRUE,"",NA
"element_text","family","select","NULL,mono,sans,serif,Courier,Helvetica,Times",TRUE,"",NA
"element_text","face","select","NULL,plain,italic,bold,bold.italic",TRUE,"",NA
"element_rect","colour","select","NULL",TRUE,"",NA
"element_line","colour","select","NULL",TRUE,"",NA
"element_text","colour","select","NULL",TRUE,"",NA
"element_rect","size","text","",FALSE,"NULL",NA
"element_line","size","text","",FALSE,"NULL",NA
"element_text","size","text","",FALSE,"NULL",NA
"element_rect","linetype","select","NULL,blank,solid,dashed,dotted,dotdash,longdash,twodash",TRUE,"",NA
"element_line","linetype","select","NULL,blank,solid,dashed,dotted,dotdash,longdash,twodash",TRUE,"",NA
"element_line","arrow","text","",FALSE,"arrow()",NA
"element_text","hjust","text","",FALSE,"NULL",NA
"element_text","vjust","text","",FALSE,"NULL",NA
"element_text","angle","text","",FALSE,"NULL",NA
"element_text","lineheight","text","",FALSE,"NULL",NA
"element_text","margin","text","",FALSE,"margin()",NA
"element_text","debug","checkbox","FALSE",FALSE,"",NA
"arrow","angle","text","30",FALSE,"",NA
"arrow","length","text","unit(0.25,""inches"")",FALSE,"unit(0.25,""inches"")",NA
"arrow","ends","select","last, first,both",TRUE,"",NA
"arrow","type","select","open,closed",TRUE,"",NA
"theme_grey","base_size","text","11",FALSE,"",NA
"theme_gray","base_size","text","11",FALSE,"",NA
"theme_bw","base_size","text","11",FALSE,"",NA
"theme_linedraw","base_size","text","11",FALSE,"",NA
"theme_light","base_size","text","11",FALSE,"",NA
"theme_dark","base_size","text","11",FALSE,"",NA
"theme_minimal","base_size","text","11",FALSE,"",NA
"theme_classic","base_size","text","11",FALSE,"",NA
"theme_void","base_size","text","11",FALSE,"",NA
"theme_test","base_size","text","11",FALSE,"",NA
"theme_stata","base_size","text","11",FALSE,"",NA
"theme_tufte","base_size","text","11",FALSE,"",NA
"theme_grey","base_family","select",",",TRUE,"",NA
"theme_gray","base_family","select",",",TRUE,"",NA
"theme_bw","base_family","select",",",TRUE,"",NA
"theme_linedraw","base_family","select",",",TRUE,"",NA
"theme_light","base_family","select",",",TRUE,"",NA
"theme_dark","base_family","select",",",TRUE,"",NA
"theme_minimal","base_family","select",",",TRUE,"",NA
"theme_classic","base_family","select",",",TRUE,"",NA
"theme_void","base_family","select",",",TRUE,"",NA
"theme_test","base_family","select",",",TRUE,"",NA
"theme_grey","base_line_size","text","base_size/22",FALSE,"",NA
"theme_gray","base_line_size","text","base_size/22",FALSE,"",NA
"theme_bw","base_line_size","text","base_size/22",FALSE,"",NA
"theme_linedraw","base_line_size","text","base_size/22",FALSE,"",NA
"theme_light","base_line_size","text","base_size/22",FALSE,"",NA
"theme_dark","base_line_size","text","base_size/22",FALSE,"",NA
"theme_minimal","base_line_size","text","base_size/22",FALSE,"",NA
"theme_classic","base_line_size","text","base_size/22",FALSE,"",NA
"theme_void","base_line_size","text","base_size/22",FALSE,"",NA
"theme_test","base_line_size","text","base_size/22",FALSE,"",NA
"theme_grey","base_rect_size","text","base_size/22",FALSE,"",NA
"theme_gray","base_rect_size","text","base_size/22",FALSE,"",NA
"theme_bw","base_rect_size","text","base_size/22",FALSE,"",NA
"theme_linedraw","base_rect_size","text","base_size/22",FALSE,"",NA
"theme_light","base_rect_size","text","base_size/22",FALSE,"",NA
"theme_dark","base_rect_size","text","base_size/22",FALSE,"",NA
"theme_minimal","base_rect_size","text","base_size/22",FALSE,"",NA
"theme_classic","base_rect_size","text","base_size/22",FALSE,"",NA
"theme_void","base_rect_size","text","base_size/22",FALSE,"",NA
"theme_test","base_rect_size","text","base_size/22",FALSE,"",NA
"theme_wsj","base_size","text","12",FALSE,"",NA
"theme_excel","base_size","text","12",FALSE,"",NA
"theme_fivethirtyeight","base_size","text","12",FALSE,"",NA
"theme_wsj","color","text","brown",TRUE,"",NA
"theme_wsj","base_family","text","sans",TRUE,"",NA
"theme_economist","base_family","text","sans",TRUE,"",NA
"theme_economist_white","base_family","text","sans",TRUE,"",NA
"theme_fivethirtyeight","base_family","text","sans",TRUE,"",NA
"theme_stata","base_family","text","sans",TRUE,"",NA
"theme_wsj","title_family","text","mono",TRUE,"",NA
"theme_economist","base_size","text","10",FALSE,"",NA
"theme_economist","horizontal","checkbox","TRUE",FALSE,"",NA
"theme_economist_white","horizontal","checkbox","TRUE",FALSE,"",NA
"theme_excel","horizontal","checkbox","TRUE",FALSE,"",NA
"theme_economist","dkpanel","checkbox","FALSE",FALSE,"",NA
"theme_economist","stata","checkbox","FALSE",FALSE,"",NA
"theme_economist_white","gray_bg","checkbox","FALSE",FALSE,"",NA
